,City,High School Completion,Income Inequality,Life Expectancy,Neighborhood racial/ethnic segregation,Racial/ethnic diversity,"Unemployment - annual, neighborhood-level",Uninsured,STATE_ABBR,no_of_crimes
336,Bethlehem,88.4,-17.9,78.7,10.7,66.2,5.2,8.4,PA,8
337,Erie,86.1,-37.2,76.0,12.8,62.0,7.9,7.7,PA,38
338,Flagstaff,94.1,-14.1,79.5,5.9,60.6,7.6,10.4,AZ,60
339,Lancaster,78.4,-29.1,78.7,16.3,70.2,7.2,8.9,PA,488
340,Lancaster,82.6,-18.5,76.8,6.7,81.1,6.5,5.8,CA,488
341,Philadelphia,84.7,-26.0,75.4,33.3,81.0,9.2,9.3,PA,1462
342,Pittsburgh,92.9,-23.4,76.1,22.8,62.9,5.6,6.1,PA,605
343,Reading,68.4,-44.8,74.9,8.8,57.9,12.9,10.9,PA,50
344,Scranton,85.9,-33.9,75.0,11.1,57.9,5.2,6.6,PA,6
345,Gilbert,96.3,14.4,80.2,4.1,60.5,4.1,5.7,AZ,114
346,Glendale,83.1,-18.2,77.9,15.7,70.5,5.8,13.8,AZ,464
347,Glendale,87.2,-8.0,82.4,5.8,66.9,6.5,8.6,CA,464
348,Goodyear,91.9,3.9,81.3,6.6,69.9,4.5,8.2,AZ,12
349,Lake Havasu City,89.4,-18.2,78.0,5.5,39.2,5.9,13.7,AZ,15
350,Cranston,89.9,-8.3,80.2,10.6,61.5,4.3,4.0,RI,36
351,Pawtucket,81.3,-23.8,77.4,10.4,80.0,7.1,7.0,RI,39
352,Providence,81.6,-26.8,78.0,16.3,80.4,7.8,8.3,RI,353
353,Mesa,88.8,-12.2,78.3,13.2,63.1,4.9,14.5,AZ,542
354,Warwick,92.5,-6.1,79.0,5.2,33.2,3.7,4.3,RI,61
355,Mount Pleasant,97.5,22.7,80.2,10.1,37.6,2.1,5.7,SC,84
356,Phoenix,81.9,-12.5,77.9,20.6,72.4,5.4,15.5,AZ,3951
357,North Charleston,83.9,-27.5,76.0,14.8,72.7,5.0,20.0,SC,37
358,Rock Hill,89.2,-20.2,76.9,11.0,61.2,5.7,11.4,SC,32
359,Scottsdale,96.7,11.6,81.7,9.6,44.6,3.3,7.4,AZ,113
360,Rapid City,92.9,-19.2,79.3,7.5,44.4,5.7,14.1,SD,93
361,Sioux Falls,92.3,-10.9,79.9,12.8,44.3,3.0,8.9,SD,220
362,Bartlett,94.7,6.0,77.6,15.6,66.5,4.0,5.5,TN,20
363,Chattanooga,87.5,-24.0,76.9,22.9,60.2,6.1,12.4,TN,102
364,Surprise,92.5,-4.1,79.3,8.2,53.9,5.8,8.0,AZ,12
365,Clarksville,92.9,-19.0,76.3,7.1,69.4,6.9,9.1,TN,180
366,Franklin,95.1,15.7,81.6,9.1,47.0,3.2,7.0,TN,194
367,Tempe,93.2,-13.8,79.4,10.4,76.0,5.1,9.7,AZ,175
368,Hendersonville,94.5,3.0,80.5,5.6,38.8,3.5,9.6,TN,23
369,Johnson City,90.2,-27.6,76.6,11.0,31.7,5.5,11.0,TN,81
370,Kingsport,88.2,-27.5,75.5,12.3,21.7,6.4,10.6,TN,83
371,Knoxville,89.4,-32.4,76.1,15.2,46.3,5.4,11.5,TN,162
372,Memphis,85.7,-30.6,75.1,31.2,61.9,8.7,15.5,TN,486
373,Murfreesboro,92.9,-10.3,77.7,6.9,58.1,5.1,9.5,TN,28
374,Nashville,88.8,-11.0,76.9,18.8,70.6,4.1,13.5,TN,1
375,Tucson,85.0,-29.5,77.3,14.9,68.2,7.8,13.3,AZ,433
376,Abilene,87.1,-21.0,76.1,10.6,65.5,3.6,15.8,TX,25
377,Allen,95.8,22.1,81.6,5.0,72.0,4.6,7.7,TX,26
378,Amarillo,84.3,-19.7,76.1,19.7,67.0,3.6,18.8,TX,28
379,Arlington,85.2,-9.8,77.7,12.9,83.6,4.6,20.0,TX,415
380,Austin,89.4,0.0,79.9,15.6,74.8,3.7,14.7,TX,556
381,Baytown,77.9,-14.9,76.9,9.2,71.6,8.2,24.4,TX,13
382,Beaumont,86.2,-22.2,75.7,16.4,73.5,4.2,22.7,TX,58
383,Brownsville,65.4,-36.8,79.5,12.4,18.8,6.0,34.6,TX,9
384,Bryan,80.4,-26.5,77.6,15.4,73.1,4.1,20.4,TX,19
385,Carrollton,87.1,4.1,79.9,13.0,83.8,3.5,16.8,TX,107
386,Cedar Park,96.1,19.5,80.6,6.1,64.8,3.0,8.7,TX,34
387,College Station,94.4,-25.3,79.5,5.8,67.1,4.0,8.6,TX,21
388,Conroe,80.7,-7.8,78.5,11.7,57.7,4.2,23.3,TX,10
389,Corpus Christi,83.4,-17.3,77.5,15.8,57.3,5.5,19.8,TX,162
390,Dallas,77.5,-14.3,77.8,26.3,80.5,4.7,26.0,TX,1058
391,Denton,90.4,-14.6,79.0,8.0,62.5,5.2,16.9,TX,85
392,DeSoto,89.5,-7.2,76.9,2.5,60.4,5.2,10.7,TX,40
393,Edinburg,76.9,-25.9,80.6,12.1,27.6,7.1,25.0,TX,2
394,El Paso,80.3,-25.4,79.0,13.6,41.4,6.1,21.5,TX,230
395,Euless,89.5,-3.4,78.4,7.6,80.5,3.4,15.8,TX,23
396,Flower Mound,96.9,40.0,79.9,7.2,58.8,3.8,5.7,TX,5
397,Fort Worth,82.2,-10.6,77.5,19.7,77.7,5.4,20.0,TX,595
398,Frisco,96.4,32.5,80.6,7.8,74.7,3.6,7.0,TX,27
399,Garland,77.1,-10.0,79.0,12.8,85.2,5.2,26.1,TX,173
400,Georgetown,93.2,2.0,80.7,10.1,54.8,5.9,10.0,TX,91
401,Grand Prairie,80.3,-6.8,77.9,11.8,82.3,4.6,20.1,TX,4
402,Grapevine,93.0,14.2,80.3,10.1,65.8,3.8,12.4,TX,44
403,Harlingen,75.2,-34.6,79.7,8.4,32.2,6.2,23.4,TX,9
404,Houston,78.9,-15.6,78.4,23.0,82.2,5.9,25.4,TX,804
405,Irving,80.5,-5.2,78.3,19.4,86.3,4.4,21.6,TX,21
406,Killeen,91.5,-21.8,77.2,3.6,86.2,10.4,13.1,TX,18
407,Laredo,68.6,-26.9,79.0,11.1,13.7,4.8,30.0,TX,5
408,League City,96.2,20.2,80.9,5.0,67.6,4.6,7.9,TX,11
409,Lewisville,87.0,-5.5,79.4,11.3,83.6,3.6,17.8,TX,27
410,Longview,84.0,-21.5,75.8,11.7,66.6,5.0,22.6,TX,121
411,Lubbock,86.5,-22.0,76.9,13.8,66.0,3.7,14.7,TX,59
412,McAllen,76.4,-25.0,81.1,11.7,31.9,6.3,28.4,TX,2
413,McKinney,92.3,13.1,80.6,10.1,71.2,3.2,11.3,TX,62
414,Mansfield,94.2,16.6,78.6,9.4,78.5,3.9,7.6,TX,141
